file,sentence,density,emo_total,word_total,breakdown,evidence
song_077.txt,"I will never forget you
You will always be by my side
From the day that I met you",0.000000,0,19,{},{}
song_077.txt,I knew that I would love you 'til the day I die,0.000000,0,12,{},{}
song_077.txt,"And I will never want much more
And in my heart I will always be sure
I will never forget you",0.000000,0,21,{},{}
song_077.txt,"And you will always be by my side
'Til the day I die
I die
I die
Die die die
Die die die die die die
Never 'til the day I die
I die
I I die
I die",0.000000,0,39,{},{}
song_077.txt,"And I will love you 'til the day I die
I die
I die
I die
Funny",0.000000,0,17,{},{}
song_077.txt,"how we both end up here
But everything seems so right",0.000000,0,11,{},{}
song_077.txt,"I wonder what would happen
If we went back and put up a fight
'Cause once upon a time
You were my everything
It's clear to see that time hasn't
Changed a thing",0.057143,2,35,{'CONTRACTION': 2},"{'CONTRACTION': [""'s"", ""n't""]}"
song_077.txt,"So what in this world do you think could ever
Take you off my mind?",0.000000,0,15,{},{}
song_077.txt,"I will never forget you
You will always be by my side
From the day that I met you",0.000000,0,19,{},{}
song_077.txt,I knew that I would love you 'til the day I die,0.000000,0,12,{},{}
song_077.txt,"And I will never want much more
And in my heart I will always be sure
I will never forget you",0.000000,0,21,{},{}
song_077.txt,"And you will always be by my side
'Til the day I die",0.000000,0,13,{},{}
song_077.txt,I I,0.000000,0,2,{},{}
song_077.txt,I I I die,0.000000,0,4,{},{}
song_077.txt,I I,0.000000,0,2,{},{}
song_077.txt,I I I die,0.000000,0,4,{},{}
song_077.txt,I I,0.000000,0,2,{},{}
song_077.txt,"I I I die
'Til the day I die
Die die die die die die die
Die die die die die die
Love you 'til the day I die
I die
I I die
I die",0.000000,0,36,{},{}
song_077.txt,"And I will love you 'til the day I die
I die
I die
I die
The day I die
I die
I die
I die
'Til the day I die
'Til the day I die
'Til the day I die",0.000000,0,41,{},{}
song_063.txt,"Up with it girl
Rock with it girl
Show dem",0.000000,0,10,{},{}
song_063.txt,"it girl Bada bang bang
Bounce with it girl
Dance with it girl
Get with it girl",0.000000,0,17,{},{}
song_063.txt,"Bada bang bang

Come on come on turn the radio on
It's Friday night and I won't belong
Gotta do my hair I put my make up on
It's Friday night and I won't belong

Till I hit the dance floor Bada bang
Hit the dance floor Bada bang",0.074074,4,54,{'CONTRACTION': 4},"{'CONTRACTION': [""'s"", ""n't"", ""'s"", ""n't""]}"
song_063.txt,I got all I need,0.000000,0,5,{},{}
song_063.txt,No I ain't got cash I ain't got cash,0.181818,2,11,{'CONTRACTION': 2},"{'CONTRACTION': [""n't"", ""n't""]}"
song_063.txt,But I got you baby,0.000000,0,5,{},{}
song_063.txt,"Just you an me

Baby",0.000000,0,5,{},{}
song_063.txt,"I don't need dollar bills to have fun tonight
I love cheap thrills",0.071429,1,14,{'CONTRACTION': 1},"{'CONTRACTION': [""n't""]}"
song_063.txt,"Baby I don't need dollar bills to have fun tonight
I love cheap thrills",0.066667,1,15,{'CONTRACTION': 1},"{'CONTRACTION': [""n't""]}"
song_063.txt,"But I don't need no money
You worth more dan diamonds more dan gold
As long as I can feel the beat
Mek di beat jus tek control
I don't need no money
You worth more dan diamonds more dan gold
As long as I keep dancing
Free up yourself get outa control

Come on come on turn the radio on
It's Saturday and I won't belong
Gotta paint my nails put my high heels on
It's Saturday and I won't belong

Till I hit the dance floor Bada bang
Hit the dance floor Bada bang",0.058252,6,103,{'CONTRACTION': 6},"{'CONTRACTION': [""n't"", ""n't"", ""'s"", ""n't"", ""'s"", ""n't""]}"
song_063.txt,I got all I need,0.000000,0,5,{},{}
song_063.txt,"Sia
No I ain't got cash I ain't got cash",0.166667,2,12,{'CONTRACTION': 2},"{'CONTRACTION': [""n't"", ""n't""]}"
song_063.txt,But I got you baby,0.000000,0,5,{},{}
song_063.txt,"Just you an me

Baby",0.000000,0,5,{},{}
song_063.txt,"I don't need dollar bills to have fun tonight
I love cheap thrills",0.071429,1,14,{'CONTRACTION': 1},"{'CONTRACTION': [""n't""]}"
song_063.txt,"Baby I don't need dollar bills to have fun tonight
I love cheap thrills",0.066667,1,15,{'CONTRACTION': 1},"{'CONTRACTION': [""n't""]}"
song_063.txt,"But I don't need no money
You worth more dan diamonds more dan gold
As long as I can feel the beat
Mek di beat jus tek control
I don't need no money
You worth more dan diamonds more dan gold
As long as I keep dancing
Free up yourself get outa control

Me an you girl you an me
Drop it to di floor an mek mi see your energy because
Mi nah play nuh hide an seek
Wah fi see di ting you have weg mek me feel weak girl
Cause anytime you wine an kotch it
Di selector pull it up an put it pon repeat girl",0.017857,2,112,{'CONTRACTION': 2},"{'CONTRACTION': [""n't"", ""n't""]}"
song_063.txt,"I'm nah touch a dollar in my pocket
Cause notin' in
this world ain't more dan what you worth",0.095238,2,21,{'CONTRACTION': 2},"{'CONTRACTION': [""'m"", ""n't""]}"
song_063.txt,"But I don't need no money
You worth more dan diamonds more dan gold
As long as I can feel the beat
Mek di beat jus tek control
I don't need no money
You worth more dan diamonds more dan gold
As long as I keep dancing
Free up yourself get outa control",0.036364,2,55,{'CONTRACTION': 2},"{'CONTRACTION': [""n't"", ""n't""]}"
song_063.txt,Oh oh,1.000000,2,2,{'INTJ': 2},"{'INTJ': ['Oh', 'oh']}"
song_063.txt,"Baby I don't need dollar bills to have fun tonight
I love cheap thrills",0.066667,1,15,{'CONTRACTION': 1},"{'CONTRACTION': [""n't""]}"
song_063.txt,"Baby I don't need dollar bills to have fun tonight
I love cheap thrills",0.066667,1,15,{'CONTRACTION': 1},"{'CONTRACTION': [""n't""]}"
song_063.txt,"But I don't need no money
You worth more dan diamonds more dan gold
As long as I can feel the beat
Mek di beat jus tek control
I don't need no money
You worth more dan diamonds more dan gold
As long as I keep dancing
Free up yourself get outa control

La la la la la la
I love cheap thrills
La la la la la la
I love cheap thrills
La la la la la la
I love cheap thrills
La la la la la
I love cheap thrills 접기",0.021053,2,95,{'CONTRACTION': 2},"{'CONTRACTION': [""n't"", ""n't""]}"
